in s,C1 in V
-3.00000E-01,-7.014587E-03
-2.99994E-01,-7.228210E-03
-2.99988E-01,-7.411316E-03
-2.99982E-01,-7.563904E-03
-2.99976E-01,-7.792786E-03
-2.99970E-01,-7.945374E-03
-2.99964E-01,-8.097961E-03
-2.99958E-01,-8.357361E-03
-2.99952E-01,-8.570984E-03
-2.99946E-01,-8.967712E-03
-2.99940E-01,-9.440735E-03
-2.99934E-01,-1.006635E-02
-2.99928E-01,-1.047833E-02
-2.99922E-01,-1.092084E-02
-2.99916E-01,-1.139386E-02
-2.99910E-01,-1.185162E-02
-2.99904E-01,-1.235516E-02
-2.99898E-01,-1.287396E-02
-2.99892E-01,-1.340802E-02
-2.99886E-01,-1.398785E-02
-2.99880E-01,-1.444562E-02
-2.99874E-01,-1.502545E-02
-2.99868E-01,-1.559003E-02
-2.99862E-01,-1.604779E-02
-2.99856E-01,-1.649030E-02
-2.99850E-01,-1.703961E-02
-2.99844E-01,-1.760419E-02
-2.99838E-01,-1.816876E-02
-2.99832E-01,-1.859601E-02
-2.99826E-01,-1.926740E-02
-2.99820E-01,-1.970990E-02
-2.99814E-01,-2.025922E-02
-2.99808E-01,-2.065594E-02
-2.99802E-01,-2.114423E-02
-2.99796E-01,-2.155621E-02
-2.99790E-01,-2.187665E-02
-2.99784E-01,-2.215131E-02
-2.99778E-01,-2.233441E-02
-2.99772E-01,-2.230389E-02
-2.99766E-01,-2.231915E-02
-2.99760E-01,-2.241071E-02
-2.99754E-01,-2.256329E-02
-2.99748E-01,-2.270062E-02
-2.99742E-01,-2.303632E-02
-2.99736E-01,-2.315839E-02
-2.99730E-01,-2.346356E-02
-2.99724E-01,-2.387555E-02
-2.99718E-01,-2.428754E-02
-2.99712E-01,-2.468427E-02
-2.99706E-01,-2.501996E-02
-2.99700E-01,-2.544720E-02
-2.99694E-01,-2.566083E-02
-2.99688E-01,-2.592023E-02
-2.99682E-01,-2.604230E-02
-2.99676E-01,-2.616437E-02
-2.99670E-01,-2.624066E-02
-2.99664E-01,-2.645428E-02
-2.99658E-01,-2.665265E-02
-2.99652E-01,-2.685101E-02
-2.99646E-01,-2.700360E-02
-2.99640E-01,-2.717145E-02
-2.99634E-01,-2.733929E-02
-2.99628E-01,-2.755292E-02
-2.99622E-01,-2.781232E-02
-2.99616E-01,-2.811749E-02
-2.99610E-01,-2.825482E-02
-2.99604E-01,-2.845319E-02
-2.99598E-01,-2.857526E-02
-2.99592E-01,-2.871259E-02
-2.99586E-01,-2.900250E-02
-2.99580E-01,-2.929242E-02
-2.99574E-01,-2.961285E-02
-2.99568E-01,-2.990277E-02
-2.99562E-01,-3.014691E-02
-2.99556E-01,-3.045209E-02
-2.99550E-01,-3.075726E-02
-2.99544E-01,-3.103192E-02
-2.99538E-01,-3.139813E-02
-2.99532E-01,-3.187115E-02
-2.99526E-01,-3.232892E-02
-2.99520E-01,-3.243573E-02
-2.99514E-01,-3.264935E-02
